,albid,artid,category,pid,prev_albid,prev_artid,prev_traid,prev_year,traid,userid,year
277926,119,94,2,15,118,93,125,58,126,13,11
737340,120,95,2,15,119,94,126,11,127,13,7
350641,28,21,2,15,120,95,127,7,28,13,13
402342,121,96,2,15,28,21,28,13,128,13,24
861756,122,97,2,15,121,96,128,24,129,13,24
1321170,123,98,2,15,122,97,129,24,130,13,16
432609,124,99,2,15,123,98,130,16,131,13,16
892023,125,100,2,15,124,99,131,16,132,13,58
447545,0,0,2,15,125,100,132,58,0,13,0
454022,126,101,2,15,0,0,0,0,133,13,58
55659,127,102,0,16,3452,1710,5072,58,134,14,28
515073,128,103,0,16,127,102,134,28,135,14,10
151204,129,104,0,16,128,103,135,10,136,14,29
241128,130,105,0,16,129,104,136,29,137,14,23
700542,131,106,0,16,130,105,137,23,138,14,23
319861,132,107,0,16,131,106,138,23,139,14,17
380489,133,108,0,16,132,107,139,17,140,14,0
419862,134,109,0,16,133,108,140,0,141,14,13
879276,134,109,0,16,134,109,141,13,142,14,13
441240,135,110,0,16,134,109,142,13,143,14,8
451292,136,111,0,16,135,110,143,8,144,14,58
910706,137,112,0,16,136,111,144,58,145,14,15
1370120,138,23,0,16,137,112,145,15,146,14,17
455564,0,0,0,16,138,23,146,17,0,14,0
80699,139,113,0,17,3452,1710,5072,58,147,15,12
175276,140,114,0,17,139,113,147,12,148,15,24
634690,141,115,0,17,140,114,148,24,149,15,12
1094104,123,98,0,17,141,115,149,12,150,15,16
263370,142,116,0,17,123,98,150,16,151,15,15
722784,143,117,0,17,142,116,151,15,152,15,30
1182198,86,72,0,17,143,117,152,30,153,15,15
338488,144,118,0,17,86,72,153,15,154,15,58
797902,100,11,0,17,144,118,154,58,155,15,4
1257316,145,101,0,17,100,11,155,4,156,15,58
393752,53,43,0,17,145,101,156,58,157,15,12
427573,146,119,0,17,53,43,157,12,158,15,58
445077,0,0,0,17,146,119,158,58,0,15,0
904491,147,120,0,17,0,0,0,0,159,15,11
452959,148,121,0,17,147,120,159,11,160,15,58
456278,149,122,0,17,148,121,160,58,161,15,7
18490,150,123,2,18,3452,1710,5072,58,162,16,58
477904,86,72,2,18,150,123,162,58,153,16,15
937318,151,85,2,18,86,72,153,15,163,16,3
115392,152,124,2,18,151,85,163,3,164,16,15
574806,153,125,2,18,152,124,164,15,165,16,7
207995,154,65,2,18,153,125,165,7,166,16,11
292165,146,119,2,18,154,65,166,11,158,16,58
751579,0,0,2,18,146,119,158,58,0,16,0
360867,121,96,2,18,0,0,0,0,167,16,24
408349,155,126,2,18,121,96,167,24,168,16,24
867763,156,113,2,18,155,126,168,24,169,16,9
435591,157,76,2,18,156,113,169,9,170,16,16
895005,147,120,2,18,157,76,170,16,171,16,11
25018,108,89,4,19,3452,1710,5072,58,172,12,24
121702,158,127,4,19,108,89,172,24,173,12,58
581116,0,0,4,19,158,127,173,58,0,12,0
213806,159,128,4,19,0,0,0,0,174,12,16
673220,160,129,4,19,159,128,174,16,175,12,58
297010,161,130,4,19,160,129,175,58,176,12,58
756424,162,131,4,19,161,130,176,58,177,12,24
364353,163,72,4,19,162,131,177,24,178,12,7
410361,164,96,4,19,163,72,178,7,179,12,11
48293,90,76,5,20,3452,1710,5072,58,92,17,24
144105,165,76,5,20,90,76,92,24,180,17,24
234530,165,76,5,20,165,76,180,24,181,17,24
693944,90,76,5,20,165,76,181,24,182,17,24
314327,0,0,5,20,90,76,182,24,0,17,0
64020,0,0,2,21,3452,1710,5072,58,0,16,0
159237,166,132,2,21,0,0,0,0,183,16,24
248522,167,133,2,21,166,132,183,24,184,16,16
326060,168,134,2,21,167,133,184,16,185,16,31
785474,169,135,2,21,168,134,185,31,186,16,58
384970,142,116,2,21,169,135,186,58,151,16,15
844384,165,76,2,21,142,116,151,15,187,16,24
422494,170,120,2,21,165,76,187,24,188,16,15
881908,152,124,2,21,170,120,188,15,189,16,30
1341322,171,101,2,21,152,124,189,30,190,16,58
18812,172,136,0,22,3452,1710,5072,58,191,18,58
115704,173,137,0,22,172,136,191,58,192,18,32
208274,174,138,0,22,173,137,192,32,193,18,58
667688,175,139,0,22,174,138,193,58,194,18,30
1127102,176,140,0,22,175,139,194,30,195,18,27
1586516,177,141,0,22,176,140,195,27,196,18,58
292394,0,0,0,22,177,141,196,58,0,18,0
751808,178,142,0,22,0,0,0,0,197,18,11
1211222,179,143,0,22,178,142,197,11,198,18,16
361027,180,144,0,22,179,143,198,16,199,18,24
820441,53,43,0,22,180,144,199,24,200,18,6
1279855,181,145,0,22,53,43,200,6,201,18,15
1739269,182,146,0,22,181,145,201,15,202,18,30
2198683,183,147,0,22,182,146,202,30,203,18,6
2658097,184,148,0,22,183,147,203,6,204,18,30
31400,185,149,0,23,3452,1710,5072,58,205,19,15
127855,186,150,0,23,185,149,205,15,206,19,7
587269,187,151,0,23,186,150,206,7,207,19,15
1046683,0,0,0,23,187,151,207,15,0,19,0
219475,188,152,0,23,0,0,0,0,208,19,12
301785,189,153,0,23,188,152,208,12,209,19,13
761199,190,154,0,23,189,153,209,13,210,19,7
1220613,191,155,0,23,190,154,210,7,211,19,13
1680027,192,156,0,23,191,155,211,13,212,19,7
367742,193,157,0,23,192,156,212,7,213,19,15
412343,187,151,0,23,193,157,213,15,214,19,15
526,194,158,0,24,3452,1710,5072,58,215,20,2
98078,195,159,0,24,194,158,215,2,216,20,58
192014,196,160,0,24,195,159,216,58,217,20,22
651428,197,161,0,24,196,160,217,22,218,20,21
1110842,198,162,0,24,197,161,218,21,219,20,11
1570256,199,163,0,24,198,162,219,11,220,20,16
2029670,200,164,0,24,199,163,220,16,221,20,22
2489084,201,165,0,24,200,164,221,22,222,20,58
278827,202,85,0,24,201,165,222,58,223,20,28
351348,115,5,0,24,202,85,223,28,122,20,3
402804,203,166,0,24,115,5,122,3,224,20,16
862218,204,167,0,24,203,166,224,16,225,20,9
1321632,205,168,0,24,204,167,225,9,226,20,58
432873,119,94,0,24,205,168,226,58,126,20,11
69154,115,5,0,25,3452,1710,5072,58,122,13,3
164180,123,98,0,25,115,5,122,3,130,13,16
623594,206,166,0,25,123,98,130,16,227,13,27
253099,28,21,0,25,206,166,227,27,28,13,13
712513,122,97,0,25,28,21,28,13,129,13,24
1171927,207,169,0,25,122,97,129,24,228,13,15
329891,208,16,0,25,207,169,228,15,229,13,33
789305,209,170,0,25,208,16,229,33,230,13,12
387656,13,10,0,25,209,170,230,12,231,13,16
424066,152,124,0,25,13,10,231,16,232,13,11
883480,210,171,0,25,152,124,232,11,233,13,24
1342894,211,15,0,25,210,171,233,24,234,13,3
443322,86,72,0,25,211,15,234,3,96,13,15
452200,118,93,0,25,86,72,96,15,125,13,58
455959,212,9,0,25,118,93,125,58,235,13,0
915373,31,24,0,25,212,9,235,0,236,13,15
457588,213,95,0,25,31,24,236,15,237,13,13
917002,0,0,0,25,213,95,237,13,0,13,0
458412,90,76,0,25,0,0,0,0,92,13,24
917826,214,101,0,25,90,76,92,24,238,13,58
1377240,215,141,0,25,214,101,238,58,239,13,58
94554,216,91,4,26,3452,1710,5072,58,240,18,11
553968,217,172,4,26,216,91,240,11,241,18,13
1013382,0,0,4,26,217,172,241,13,0,18,0
188646,218,61,4,26,0,0,0,0,242,18,58
275728,219,173,4,26,218,61,242,58,243,18,34
735142,220,45,4,26,219,173,243,34,244,18,15
348787,221,174,4,26,220,45,244,15,245,18,35
401013,222,86,4,26,221,174,245,35,246,18,16
431834,223,175,4,26,222,86,246,16,247,18,27
891248,224,176,4,26,223,175,247,27,248,18,58
74604,225,177,0,27,3452,1710,5072,58,249,21,30
534018,0,0,0,27,225,177,249,30,0,21,0
993432,226,178,0,27,0,0,0,0,250,21,30
169412,227,179,0,27,226,178,250,30,251,21,24
257965,228,19,0,27,227,179,251,24,252,21,16
333925,13,10,0,27,228,19,252,16,253,21,24
390503,229,180,0,27,13,10,253,24,254,21,16
425713,230,181,0,27,229,180,254,16,255,21,36
885127,231,182,0,27,230,181,255,36,256,21,9
1344541,232,183,0,27,231,182,256,9,257,21,12
1803955,233,184,0,27,232,183,257,12,258,21,11
2263369,234,185,0,27,233,184,258,11,259,21,24
43201,235,186,0,28,3452,1710,5072,58,260,22,2
502615,0,0,0,28,235,186,260,2,0,22,0
139214,147,120,0,28,0,0,0,0,261,22,11
229977,236,187,0,28,147,120,261,11,262,22,11
310575,63,53,0,28,236,187,262,11,263,22,7
373924,237,132,0,28,63,53,263,7,264,22,11
833338,238,188,0,28,237,132,264,11,265,22,58
1292752,239,189,0,28,238,188,265,58,266,22,12
415987,240,190,0,28,239,189,266,12,267,22,24
439359,241,191,0,28,240,190,267,24,268,22,15
450512,242,192,0,28,241,191,268,15,269,22,7
79838,0,0,0,29,3452,1710,5072,58,0,23,0
539252,243,133,0,29,0,0,0,0,270,23,30
174451,244,193,0,29,243,133,270,30,271,23,13
633865,245,194,0,29,244,193,271,13,272,23,11
1093279,246,195,0,29,245,194,272,11,273,23,26
262599,247,196,0,29,246,195,273,26,274,23,30
337830,248,197,0,29,247,196,274,30,275,23,12
797244,249,198,0,29,248,197,275,12,276,23,24
393280,250,199,0,29,249,198,276,24,277,23,11
852694,251,200,0,29,250,199,277,11,278,23,2
1312108,252,201,0,29,251,200,278,2,279,23,58
1771522,253,45,0,29,252,201,279,58,280,23,12
2230936,254,202,0,29,253,45,280,12,281,23,24
427315,255,198,0,29,254,202,281,24,282,23,6
886729,256,203,0,29,255,198,282,6,283,23,37
444949,257,204,0,29,256,203,283,37,284,23,13
75422,258,205,1,30,3452,1710,5072,58,285,13,19
170205,259,11,1,30,258,205,285,19,286,13,31
629619,260,41,1,30,259,11,286,31,287,13,22
258681,261,206,1,30,260,41,287,22,288,13,29
718095,211,15,1,30,261,206,288,29,234,13,3
334521,115,5,1,30,211,15,234,3,122,13,3
793935,262,23,1,30,115,5,122,3,289,13,10
1253349,263,207,1,30,262,23,289,10,290,13,5
1712763,0,0,1,30,263,207,290,5,0,13,0
390932,264,208,1,30,0,0,0,0,291,13,58
425959,265,209,1,30,264,208,291,58,292,13,6
444276,86,72,1,30,265,209,292,6,96,13,15
903690,266,210,1,30,86,72,96,15,293,13,23
1363104,267,211,1,30,266,210,293,23,294,13,58
1822518,208,16,1,30,267,211,294,58,295,13,24
2281932,268,212,1,30,208,16,295,24,296,13,2
2741346,269,213,1,30,268,212,296,2,297,13,2
21126,147,120,2,31,3452,1710,5072,58,171,9,11
117932,270,214,2,31,147,120,171,11,298,9,58
210328,171,101,2,31,270,214,298,58,299,9,58
294107,0,0,2,31,171,101,299,58,0,9,0
753521,271,215,2,31,0,0,0,0,300,9,30
93008,272,216,0,32,3452,1710,5072,58,301,24,58
187157,273,217,0,32,272,216,301,58,302,24,58
274327,274,71,0,32,273,217,302,58,303,24,58
347610,275,218,0,32,274,71,303,58,304,24,35
807024,276,219,0,32,275,218,304,35,305,24,30
1266438,277,214,0,32,276,219,305,30,306,24,58
400188,0,0,0,32,277,214,306,58,0,24,0
43175,278,220,4,33,3452,1710,5072,58,307,20,14
139188,206,166,4,33,278,220,307,14,308,20,38
229952,0,0,4,33,206,166,308,38,0,20,0
689366,110,53,4,33,0,0,0,0,116,20,7
310554,115,5,4,33,110,53,116,7,122,20,3
769968,279,221,4,33,115,5,122,3,309,20,6
373909,280,159,4,33,279,221,309,6,310,20,30
415980,281,59,4,33,280,159,310,30,311,20,58
875394,282,222,4,33,281,59,311,58,312,20,14
439354,283,167,4,33,282,222,312,14,313,20,23
450511,284,223,4,33,283,167,313,23,314,20,24
86332,285,104,0,34,3452,1710,5072,58,315,23,13
180706,286,224,0,34,285,104,315,13,316,23,13
268369,287,53,0,34,286,224,316,13,317,23,16
342649,288,225,0,34,287,53,317,16,318,23,30
802063,253,45,0,34,288,225,318,30,280,23,12
396705,243,133,0,34,253,45,280,12,270,23,30
429303,289,226,0,34,243,133,270,30,319,23,39
445930,255,198,0,34,289,226,319,39,282,23,6
905344,0,0,0,34,255,198,282,6,0,23,0
1364758,290,53,0,34,0,0,0,0,320,23,12
91407,291,227,0,35,3452,1710,5072,58,321,25,26
550821,152,124,0,35,291,227,321,26,232,25,11
1010235,292,228,0,35,152,124,232,11,322,25,58
1469649,202,85,0,35,292,228,322,58,223,25,28
1929063,293,229,0,35,202,85,223,28,323,25,11
185610,294,37,0,35,293,229,323,11,324,25,12
272909,0,0,0,35,294,37,324,12,0,25,0
732323,100,11,0,35,0,0,0,0,325,25,8
1191737,295,230,0,35,100,11,325,8,326,25,11
346418,296,231,0,35,295,230,326,11,327,25,11
805832,297,117,0,35,296,231,327,11,328,25,11
1265246,147,120,0,35,297,117,328,11,261,25,11
1724660,298,232,0,35,147,120,261,11,329,25,58
399353,299,233,0,35,298,232,329,58,330,25,58
92890,300,234,0,36,3452,1710,5072,58,331,26,11
552304,301,235,0,36,300,234,331,11,332,26,24
1011718,302,236,0,36,301,235,332,24,333,26,21
187043,303,237,0,36,302,236,333,21,334,26,11
274219,304,238,0,36,303,237,334,11,335,26,15
733633,305,239,0,36,304,238,335,15,336,26,7
347524,306,128,0,36,305,239,336,7,337,26,26
806938,307,240,0,36,306,128,337,26,338,26,11
1266352,308,241,0,36,307,240,338,11,339,26,58
400127,309,242,0,36,308,241,339,58,340,26,6
88853,310,213,2,37,3452,1710,5072,58,341,27,12
548267,47,19,2,37,310,213,341,12,342,27,21
1007681,311,33,2,37,47,19,342,21,343,27,3
1467095,0,0,2,37,311,33,343,3,0,27,0
183136,113,10,2,37,0,0,0,0,120,27,16
642550,312,41,2,37,113,10,120,16,344,27,40
1101964,313,243,2,37,312,41,344,40,345,27,41
1561378,314,244,2,37,313,243,345,41,346,27,1
2020792,315,245,2,37,314,244,346,1,347,27,10
270629,20,12,2,37,315,245,347,10,348,27,3
344526,316,246,2,37,20,12,348,3,349,27,15
398026,317,185,2,37,316,246,349,15,350,27,24
31837,318,247,0,38,3452,1710,5072,58,351,28,18
128271,59,49,0,38,318,247,351,18,352,28,8
587685,319,248,0,38,59,49,352,8,353,28,2
1047099,244,193,0,38,319,248,353,2,354,28,9
219863,320,249,0,38,244,193,354,9,355,28,12
679277,321,87,0,38,320,249,355,12,356,28,12
1138691,53,43,0,38,321,87,356,12,357,28,7
1598105,213,95,0,38,53,43,357,7,237,28,13
302108,322,250,0,38,213,95,237,13,358,28,7
761522,248,197,0,38,322,250,358,7,359,28,12
1220936,323,251,0,38,248,197,359,12,360,28,16
367977,324,159,0,38,323,251,360,16,361,28,16
412494,325,211,0,38,324,159,361,16,362,28,58
437611,326,252,0,38,325,211,362,58,363,28,58
897025,163,72,0,38,326,252,363,58,364,28,12
1356439,327,253,0,38,163,72,364,12,365,28,13
1815853,328,59,0,38,327,253,365,13,366,28,2
449755,329,12,0,38,328,59,366,2,367,28,31
909169,330,11,0,38,329,12,367,31,368,28,5
1368583,0,0,0,38,330,11,368,5,0,28,0
454941,293,229,0,38,0,0,0,0,369,28,30
457116,96,81,0,38,293,229,369,30,370,28,16
11571,0,0,2,39,3452,1710,5072,58,0,29,0
108723,152,124,2,39,0,0,0,0,371,29,11
568137,331,53,2,39,152,124,371,11,372,29,30
1027551,332,254,2,39,331,53,372,30,373,29,0
201830,333,255,2,39,332,254,373,0,374,29,42
661244,334,85,2,39,333,255,374,42,375,29,14
287049,113,10,2,39,334,85,375,14,376,29,16
746463,335,16,2,39,113,10,376,16,377,29,12
357237,6,0,2,39,335,16,377,12,378,29,3
816651,336,27,2,39,6,0,378,3,379,29,26
406261,337,55,2,39,336,27,379,26,380,29,9
434570,127,102,2,39,337,55,380,9,134,29,28
448418,4,0,2,39,127,102,134,28,4,29,0
907832,338,256,2,39,4,0,4,0,381,29,35
60598,111,90,0,40,3452,1710,5072,58,117,30,15
520012,339,257,0,40,111,90,117,15,382,30,58
155949,340,258,0,40,339,257,382,58,383,30,4
615363,74,62,0,40,340,258,383,4,384,30,58
1074777,341,146,0,40,74,62,384,58,385,30,11
1534191,342,22,0,40,341,146,385,11,386,30,15
245501,343,259,0,40,342,22,386,15,387,30,11
704915,344,260,0,40,343,259,387,11,388,30,24
1164329,345,261,0,40,344,260,388,24,389,30,11
1623743,346,236,0,40,345,261,389,11,390,30,21
2083157,347,262,0,40,346,236,390,21,391,30,12
2542571,65,55,0,40,347,262,391,12,67,30,9
3001985,348,61,0,40,65,55,67,9,392,30,58
323516,44,37,0,40,348,61,392,58,44,30,9
782930,221,174,0,40,44,37,44,9,393,30,35
1242344,349,197,0,40,221,174,393,35,394,30,30
383138,350,45,0,40,349,197,394,30,395,30,24
842552,351,75,0,40,350,45,395,24,396,30,11
421395,0,0,0,40,351,75,396,11,0,30,0
880809,352,263,0,40,0,0,0,0,397,30,16
1340223,353,264,0,40,352,263,397,16,398,30,7
52778,354,265,0,41,3452,1710,5072,58,399,31,17
512192,355,9,0,41,354,265,399,17,400,31,21
971606,356,266,0,41,355,9,400,21,401,31,19
1431020,263,207,0,41,356,266,401,19,402,31,13
148438,357,267,0,41,263,207,402,13,403,31,13
607852,358,268,0,41,357,267,403,13,404,31,9
1067266,359,269,0,41,358,268,404,9,405,31,58
1526680,360,266,0,41,359,269,405,58,406,31,25
1986094,361,182,0,41,360,266,406,25,407,31,21
2445508,362,265,0,41,361,182,407,21,408,31,32
2904922,363,270,0,41,362,265,408,32,409,31,40
238558,364,209,0,41,363,270,409,40,410,31,1
697972,0,0,0,41,364,209,410,1,0,31,0
1157386,365,265,0,41,0,0,0,0,411,31,17
317729,366,271,0,41,365,265,411,17,412,31,13
379007,367,272,0,41,366,271,412,13,413,31,58
419017,357,267,0,41,367,272,413,58,414,31,17
22855,368,273,1,42,3452,1710,5072,58,415,32,58
119613,369,188,1,42,368,273,415,58,416,32,24
211889,370,90,1,42,369,188,416,24,417,32,7
295398,371,30,1,42,370,90,417,7,418,32,58
363216,372,274,1,42,371,30,418,58,419,32,17
822630,373,15,1,42,372,274,419,17,420,32,0
409706,358,268,1,42,373,15,420,0,421,32,9
436235,0,0,1,42,358,268,421,9,0,32,0
28023,374,275,2,43,3452,1710,5072,58,422,33,22
124586,0,0,2,43,374,275,422,22,0,33,0
216456,281,59,2,43,0,0,0,0,311,33,58
299249,375,276,2,43,281,59,311,58,423,33,24
758663,376,277,2,43,375,276,423,24,424,33,27
365941,377,278,2,43,376,277,424,27,425,33,11
411274,378,26,2,43,377,278,425,11,426,33,13
437005,379,279,2,43,378,26,426,13,427,33,58
37823,207,169,0,44,3452,1710,5072,58,228,34,15
497237,380,19,0,44,207,169,228,15,428,34,24
134017,381,280,0,44,380,19,428,24,429,34,30
593431,382,281,0,44,381,280,429,30,430,34,24
1052845,67,45,0,44,382,281,430,24,431,34,24
1512259,335,16,0,44,67,45,431,24,432,34,12
1971673,209,170,0,44,335,16,432,12,433,34,12
2431087,383,282,0,44,209,170,433,12,434,34,16
225171,86,72,0,44,383,282,434,16,435,34,15
684585,116,76,0,44,86,72,435,15,123,34,24
1143999,384,283,0,44,116,76,123,24,436,34,24
306554,118,93,0,44,384,283,436,24,125,34,58
371128,385,284,0,44,118,93,125,58,437,34,16
830542,0,0,0,44,385,284,437,16,0,34,0
414365,386,285,0,44,0,0,0,0,438,34,24
37149,387,286,0,45,3452,1710,5072,58,439,35,30
496563,388,124,0,45,387,286,439,30,440,35,15
955977,389,287,0,45,388,124,440,15,441,35,15
1415391,390,288,0,45,389,287,441,15,442,35,12
1874805,391,30,0,45,390,288,442,12,443,35,58
2334219,392,280,0,45,391,30,443,58,444,35,30
2793633,0,0,0,45,392,280,444,30,0,35,0
3253047,393,289,0,45,0,0,0,0,445,35,58
133364,394,290,0,45,393,289,445,58,446,35,58
592778,395,270,0,45,394,290,446,58,447,35,43
224557,396,291,0,45,395,270,447,43,448,35,58
306041,397,292,0,45,396,291,448,58,449,35,18
765455,398,293,0,45,397,292,449,18,450,35,44
1224869,98,2,0,45,398,293,450,44,102,35,21
1684283,399,19,0,45,98,2,102,21,451,35,16
2143697,147,120,0,45,399,19,451,16,159,35,11
2603111,86,72,0,45,147,120,159,11,435,35,15
370773,400,294,0,45,86,72,435,15,452,35,12
47239,401,286,2,46,3452,1710,5072,58,453,36,30
143094,402,295,2,46,401,286,453,30,454,36,58
602508,0,0,2,46,402,295,454,58,0,36,0
233592,163,72,2,46,0,0,0,0,455,36,12
313549,403,296,2,46,163,72,455,12,456,36,58
45817,404,257,0,47,3452,1710,5072,58,457,37,30
141729,405,86,0,47,404,257,457,30,458,37,16
232317,0,0,0,47,405,86,458,16,0,37,0
312489,287,53,0,47,0,0,0,0,459,37,58
